Unnamed: 0,open,low,high,close,volume,Unnamed: 6,datetime
,3.668,3.82,3.085,3.097,115899,,2020-01-01 00:00:00
,3.096,3.195,2.813,3.023,109646,,2020-01-01 00:15:00
,3.026,3.135,2.926,3.007,63352,,2020-01-01 00:30:00
,3.003,3.193,2.95,3.067,52323,,2020-01-01 00:45:00
,3.067,3.141,2.854,2.872,40957,,2020-01-01 01:00:00
,2.873,2.909,2.715,2.746,44614,,2020-01-01 01:15:00
,2.746,2.885,2.58,2.621,40742,,2020-01-01 01:30:00
,2.621,2.678,2.38,2.527,49874,,2020-01-01 01:45:00
,2.526,2.61,2.405,2.405,40233,,2020-01-01 02:00:00
,2.406,2.488,2.27,2.395,43572,,2020-01-01 02:15:00
,2.395,2.42,2.26,2.342,33555,,2020-01-01 02:30:00
,2.342,2.4,2.251,2.299,31793,,2020-01-01 02:45:00
,2.301,2.35,2.118,2.177,34392,,2020-01-01 03:00:00
,2.177,2.235,2.126,2.162,24986,,2020-01-01 03:15:00
,2.162,2.214,2.131,2.145,20377,,2020-01-01 03:30:00
,2.145,2.314,2.143,2.29,29985,,2020-01-01 03:45:00
,2.291,2.31,2.05,2.15,35104,,2020-01-01 04:00:00
,2.151,2.211,2.073,2.098,22107,,2020-01-01 04:15:00
,2.099,2.138,2.04,2.062,23499,,2020-01-01 04:30:00
,2.062,2.08,2.01,2.028,20242,,2020-01-01 04:45:00
,2.028,2.112,2.002,2.063,20191,,2020-01-01 05:00:00
,2.062,2.195,2.035,2.121,20009,,2020-01-01 05:15:00
,2.121,2.17,2.076,2.143,15643,,2020-01-01 05:30:00
,2.143,2.2,2.104,2.129,17879,,2020-01-01 05:45:00
,2.128,2.15,2.097,2.112,11452,,2020-01-01 06:00:00
,2.112,2.137,2.037,2.08,13215,,2020-01-01 06:15:00
,2.081,2.116,2.065,2.093,10037,,2020-01-01 06:30:00
,2.092,2.13,2.075,2.095,8558,,2020-01-01 06:45:00
,2.097,2.105,2.015,2.029,10808,,2020-01-01 07:00:00
,2.03,2.085,2.026,2.04,7857,,2020-01-01 07:15:00
,2.041,2.063,2.029,2.062,6503,,2020-01-01 07:30:00
,2.063,2.078,2.03,2.034,8873,,2020-01-01 07:45:00
,2.033,2.046,2.011,2.021,8490,,2020-01-01 08:00:00
,2.021,2.08,2.013,2.06,8284,,2020-01-01 08:15:00
,2.06,2.064,2.025,2.04,5528,,2020-01-01 08:30:00
,2.041,2.051,1.933,1.956,14280,,2020-01-01 08:45:00
,1.956,1.973,1.887,1.9,13691,,2020-01-01 09:00:00
,1.9,1.93,1.85,1.923,13243,,2020-01-01 09:15:00
,1.924,1.945,1.901,1.932,6749,,2020-01-01 09:30:00
,1.931,1.989,1.915,1.935,11682,,2020-01-01 09:45:00
,1.936,1.97,1.91,1.944,6595,,2020-01-01 10:00:00
,1.943,1.958,1.914,1.915,5675,,2020-01-01 10:15:00
,1.916,1.979,1.913,1.965,7955,,2020-01-01 10:30:00
,1.965,1.97,1.921,1.962,5816,,2020-01-01 10:45:00
,1.963,2.019,1.947,2.012,9398,,2020-01-01 11:00:00
,2.014,2.08,1.997,2.036,16064,,2020-01-01 11:15:00
,2.037,2.1,2.036,2.09,9330,,2020-01-01 11:30:00
,2.09,2.105,2.012,2.03,11961,,2020-01-01 11:45:00
,2.03,2.095,2.015,2.05,7941,,2020-01-01 12:00:00
,2.05,2.134,2.044,2.127,11301,,2020-01-01 12:15:00
,2.126,2.189,2.094,2.188,11063,,2020-01-01 12:30:00
,2.187,2.189,2.106,2.108,9028,,2020-01-01 12:45:00
,2.108,2.109,2.012,2.035,11371,,2020-01-01 13:00:00
,2.034,2.08,2.024,2.067,5952,,2020-01-01 13:15:00
,2.066,2.109,2.04,2.055,8162,,2020-01-01 13:30:00
,2.055,2.074,2.02,2.053,6088,,2020-01-01 13:45:00
,2.054,2.055,1.952,1.999,10060,,2020-01-01 14:00:00
,1.999,2.04,1.98,2.025,5549,,2020-01-01 14:15:00
,2.025,2.055,2.009,2.012,6059,,2020-01-01 14:30:00
,2.012,2.035,1.991,2.022,5355,,2020-01-01 14:45:00
,2.022,2.046,2.0,2.044,5351,,2020-01-01 15:00:00
,2.045,2.045,2.015,2.022,3630,,2020-01-01 15:15:00
,2.022,2.05,2.021,2.05,3698,,2020-01-01 15:30:00
,2.05,2.072,2.021,2.031,4528,,2020-01-01 15:45:00
,2.03,2.03,1.968,1.983,8271,,2020-01-01 16:00:00
,1.984,2.009,1.969,1.974,6337,,2020-01-01 16:15:00
,1.975,1.989,1.951,1.963,7784,,2020-01-01 16:30:00
,1.963,1.98,1.923,1.976,8586,,2020-01-01 16:45:00
,1.977,1.98,1.956,1.963,5339,,2020-01-01 17:00:00
,1.964,1.973,1.925,1.958,8202,,2020-01-01 17:15:00
,1.958,1.971,1.93,1.935,5541,,2020-01-01 17:30:00
,1.935,1.955,1.905,1.915,10240,,2020-01-01 17:45:00
,1.915,1.945,1.913,1.944,6611,,2020-01-01 18:00:00
,1.943,1.945,1.919,1.935,5587,,2020-01-01 18:15:00
,1.935,1.935,1.91,1.919,6490,,2020-01-01 18:30:00
,1.919,1.921,1.88,1.886,9736,,2020-01-01 18:45:00
,1.885,1.943,1.86,1.936,8030,,2020-01-01 19:00:00
,1.935,1.947,1.914,1.941,5703,,2020-01-01 19:15:00
,1.942,1.957,1.919,1.95,4785,,2020-01-01 19:30:00
,1.95,1.96,1.925,1.955,7678,,2020-01-01 19:45:00
,1.954,1.972,1.902,1.923,8986,,2020-01-01 20:00:00
,1.924,1.943,1.851,1.888,15879,,2020-01-01 20:15:00
,1.888,1.913,1.852,1.872,9648,,2020-01-01 20:30:00
,1.872,1.893,1.82,1.852,15480,,2020-01-01 20:45:00
,1.852,1.896,1.848,1.886,13341,,2020-01-01 21:00:00
,1.886,1.887,1.857,1.881,8618,,2020-01-01 21:15:00
,1.881,1.905,1.868,1.89,7737,,2020-01-01 21:30:00
,1.89,1.939,1.885,1.894,9428,,2020-01-01 21:45:00
,1.895,1.915,1.877,1.894,6892,,2020-01-01 22:00:00
,1.894,1.903,1.866,1.868,6660,,2020-01-01 22:15:00
,1.869,1.874,1.811,1.835,11761,,2020-01-01 22:30:00
,1.835,1.85,1.755,1.797,24290,,2020-01-01 22:45:00
,1.797,1.829,1.796,1.813,9089,,2020-01-01 23:00:00
,1.814,1.824,1.768,1.795,10461,,2020-01-01 23:15:00
,1.795,1.824,1.773,1.812,9876,,2020-01-01 23:30:00
,1.812,1.843,1.805,1.82,8215,,2020-01-01 23:45:00
,1.82,1.823,1.751,1.763,14419,,2020-01-02 00:00:00
,1.763,1.788,1.707,1.721,19901,,2020-01-02 00:15:00
,1.721,1.743,1.673,1.732,18925,,2020-01-02 00:30:00
,1.731,1.75,1.7,1.726,11480,,2020-01-02 00:45:00
,1.726,1.727,1.676,1.684,12597,,2020-01-02 01:00:00
,1.685,1.715,1.679,1.706,13018,,2020-01-02 01:15:00
,1.707,1.728,1.684,1.712,11468,,2020-01-02 01:30:00
,1.712,1.713,1.682,1.705,7384,,2020-01-02 01:45:00
,1.705,1.759,1.704,1.753,10365,,2020-01-02 02:00:00
,1.754,1.79,1.735,1.737,12890,,2020-01-02 02:15:00
,1.737,1.778,1.723,1.767,9541,,2020-01-02 02:30:00
,1.767,1.82,1.753,1.81,13996,,2020-01-02 02:45:00
,1.81,1.832,1.781,1.781,10118,,2020-01-02 03:00:00
,1.781,1.89,1.778,1.865,15026,,2020-01-02 03:15:00
,1.866,1.949,1.848,1.904,31002,,2020-01-02 03:30:00
,1.904,1.937,1.864,1.931,18207,,2020-01-02 03:45:00
,1.932,1.957,1.909,1.942,13532,,2020-01-02 04:00:00
,1.941,1.959,1.892,1.903,12545,,2020-01-02 04:15:00
,1.903,1.918,1.868,1.881,7057,,2020-01-02 04:30:00
,1.881,1.9,1.855,1.892,5595,,2020-01-02 04:45:00
,1.891,1.894,1.836,1.846,6403,,2020-01-02 05:00:00
,1.847,1.884,1.846,1.862,3774,,2020-01-02 05:15:00
,1.863,1.875,1.844,1.856,2982,,2020-01-02 05:30:00
,1.856,1.895,1.841,1.88,4199,,2020-01-02 05:45:00
,1.879,1.905,1.866,1.881,3624,,2020-01-02 06:00:00
,1.88,1.883,1.853,1.858,3042,,2020-01-02 06:15:00
,1.858,1.864,1.809,1.826,5540,,2020-01-02 06:30:00
,1.827,1.841,1.81,1.837,2840,,2020-01-02 06:45:00
,1.837,1.841,1.791,1.795,4025,,2020-01-02 07:00:00
,1.794,1.813,1.794,1.808,2308,,2020-01-02 07:15:00
,1.809,1.815,1.774,1.794,3045,,2020-01-02 07:30:00
,1.793,1.824,1.791,1.816,2684,,2020-01-02 07:45:00
,1.813,1.82,1.78,1.804,4616,,2020-01-02 08:00:00
,1.804,1.808,1.764,1.787,3387,,2020-01-02 08:15:00
,1.787,1.821,1.774,1.815,3299,,2020-01-02 08:30:00
,1.814,1.829,1.793,1.803,2897,,2020-01-02 08:45:00
,1.803,1.824,1.78,1.819,3163,,2020-01-02 09:00:00
,1.819,1.865,1.815,1.859,3889,,2020-01-02 09:15:00
,1.859,1.88,1.844,1.857,6570,,2020-01-02 09:30:00
,1.856,1.926,1.853,1.892,6101,,2020-01-02 09:45:00
,1.893,1.915,1.864,1.873,4690,,2020-01-02 10:00:00
,1.873,1.887,1.866,1.876,3599,,2020-01-02 10:15:00
,1.877,1.912,1.873,1.892,3439,,2020-01-02 10:30:00
,1.892,1.905,1.86,1.874,4140,,2020-01-02 10:45:00
,1.874,1.875,1.805,1.814,5839,,2020-01-02 11:00:00
,1.815,1.837,1.811,1.829,3369,,2020-01-02 11:15:00
,1.829,1.85,1.827,1.845,2518,,2020-01-02 11:30:00
,1.845,1.893,1.84,1.887,4248,,2020-01-02 11:45:00
,1.889,1.9,1.868,1.882,3403,,2020-01-02 12:00:00
,1.881,1.887,1.84,1.865,3272,,2020-01-02 12:15:00
,1.865,1.867,1.81,1.821,4940,,2020-01-02 12:30:00
,1.821,1.843,1.819,1.83,2550,,2020-01-02 12:45:00
,1.83,1.857,1.824,1.849,2874,,2020-01-02 13:00:00
,1.848,1.853,1.829,1.833,2157,,2020-01-02 13:15:00
,1.833,1.834,1.817,1.831,2524,,2020-01-02 13:30:00
,1.831,1.844,1.802,1.833,3298,,2020-01-02 13:45:00
,1.832,1.867,1.832,1.856,2926,,2020-01-02 14:00:00
,1.857,1.893,1.855,1.881,3884,,2020-01-02 14:15:00
,1.88,1.899,1.877,1.889,2556,,2020-01-02 14:30:00
,1.889,1.897,1.854,1.864,2764,,2020-01-02 14:45:00
,1.865,1.898,1.865,1.897,3168,,2020-01-02 15:00:00
,1.898,1.906,1.873,1.906,3381,,2020-01-02 15:15:00
,1.906,1.93,1.885,1.89,4979,,2020-01-02 15:30:00
,1.891,1.901,1.874,1.889,3640,,2020-01-02 15:45:00
,1.889,1.9,1.85,1.865,5631,,2020-01-02 16:00:00
,1.866,1.874,1.835,1.853,4952,,2020-01-02 16:15:00
,1.853,1.867,1.844,1.853,3024,,2020-01-02 16:30:00
,1.854,1.854,1.82,1.834,3823,,2020-01-02 16:45:00
,1.835,1.858,1.833,1.855,2425,,2020-01-02 17:00:00
,1.855,1.877,1.844,1.875,3218,,2020-01-02 17:15:00
,1.875,1.879,1.849,1.852,3539,,2020-01-02 17:30:00
,1.852,1.861,1.826,1.852,4245,,2020-01-02 17:45:00
,1.852,1.875,1.837,1.869,3003,,2020-01-02 18:00:00
,1.868,1.891,1.863,1.88,3384,,2020-01-02 18:15:00
,1.88,1.886,1.867,1.879,2791,,2020-01-02 18:30:00
,1.88,1.946,1.871,1.938,7739,,2020-01-02 18:45:00
,1.938,1.941,1.887,1.904,6767,,2020-01-02 19:00:00
,1.903,1.913,1.875,1.91,4603,,2020-01-02 19:15:00
,1.911,1.948,1.903,1.946,6368,,2020-01-02 19:30:00
,1.946,1.96,1.919,1.928,7519,,2020-01-02 19:45:00
,1.928,1.93,1.907,1.915,4991,,2020-01-02 20:00:00
,1.915,1.92,1.887,1.913,6098,,2020-01-02 20:15:00
,1.913,1.953,1.907,1.925,7307,,2020-01-02 20:30:00
,1.925,1.94,1.906,1.919,4911,,2020-01-02 20:45:00
,1.919,1.921,1.878,1.9,5776,,2020-01-02 21:00:00
,1.899,1.902,1.865,1.877,4929,,2020-01-02 21:15:00
,1.877,1.89,1.848,1.86,6809,,2020-01-02 21:30:00
,1.859,1.872,1.846,1.864,4474,,2020-01-02 21:45:00
,1.865,1.886,1.861,1.881,3037,,2020-01-02 22:00:00
,1.882,1.887,1.87,1.881,2718,,2020-01-02 22:15:00
,1.88,1.897,1.872,1.895,3129,,2020-01-02 22:30:00
,1.894,1.908,1.88,1.904,3601,,2020-01-02 22:45:00
,1.904,1.906,1.889,1.896,3336,,2020-01-02 23:00:00
,1.896,1.9,1.854,1.871,5710,,2020-01-02 23:15:00
,1.87,1.873,1.85,1.869,4034,,2020-01-02 23:30:00
,1.87,1.874,1.827,1.842,6853,,2020-01-02 23:45:00
,1.842,1.846,1.815,1.833,5749,,2020-01-03 00:00:00
,1.832,1.853,1.831,1.848,3534,,2020-01-03 00:15:00
,1.847,1.859,1.826,1.85,4226,,2020-01-03 00:30:00
,1.849,1.859,1.838,1.847,3107,,2020-01-03 00:45:00
,1.846,1.86,1.843,1.845,2804,,2020-01-03 01:00:00
,1.845,1.859,1.828,1.857,3434,,2020-01-03 01:15:00
,1.856,1.868,1.852,1.863,2882,,2020-01-03 01:30:00
,1.863,1.869,1.835,1.839,3457,,2020-01-03 01:45:00
,1.84,1.845,1.835,1.84,2130,,2020-01-03 02:00:00
,1.839,1.873,1.839,1.858,3339,,2020-01-03 02:15:00
,1.859,1.86,1.843,1.848,2625,,2020-01-03 02:30:00
,1.848,1.855,1.84,1.851,2462,,2020-01-03 02:45:00
,1.851,1.853,1.82,1.833,3867,,2020-01-03 03:00:00
,1.833,1.845,1.821,1.828,2250,,2020-01-03 03:15:00
,1.829,1.832,1.81,1.815,3032,,2020-01-03 03:30:00
,1.815,1.835,1.813,1.824,2132,,2020-01-03 03:45:00
,1.825,1.842,1.824,1.839,1806,,2020-01-03 04:00:00
,1.838,1.843,1.828,1.838,1713,,2020-01-03 04:15:00
,1.839,1.856,1.826,1.842,2805,,2020-01-03 04:30:00
,1.843,1.847,1.832,1.835,1913,,2020-01-03 04:45:00
,1.835,1.845,1.834,1.842,1314,,2020-01-03 05:00:00
,1.843,1.87,1.842,1.866,3116,,2020-01-03 05:15:00
,1.865,1.87,1.856,1.862,2092,,2020-01-03 05:30:00
,1.862,1.873,1.847,1.87,2936,,2020-01-03 05:45:00
,1.869,1.895,1.866,1.892,4215,,2020-01-03 06:00:00
,1.892,1.9,1.885,1.893,2879,,2020-01-03 06:15:00
,1.893,1.9,1.872,1.873,2563,,2020-01-03 06:30:00
,1.873,1.887,1.87,1.876,2407,,2020-01-03 06:45:00
,1.877,1.89,1.875,1.888,1520,,2020-01-03 07:00:00
,1.889,1.9,1.878,1.893,2314,,2020-01-03 07:15:00
,1.894,1.899,1.88,1.897,2372,,2020-01-03 07:30:00
,1.897,1.9,1.862,1.871,3251,,2020-01-03 07:45:00
,1.87,1.879,1.85,1.862,2620,,2020-01-03 08:00:00
,1.863,1.997,1.853,1.995,33122,,2020-01-03 08:15:00
,1.995,2.043,1.95,1.969,28985,,2020-01-03 08:30:00
,1.97,1.99,1.923,1.931,10224,,2020-01-03 08:45:00
,1.931,1.971,1.928,1.949,7324,,2020-01-03 09:00:00
,1.948,1.981,1.941,1.949,4707,,2020-01-03 09:15:00
,1.948,1.974,1.945,1.965,6088,,2020-01-03 09:30:00
,1.965,1.975,1.953,1.958,3551,,2020-01-03 09:45:00
,1.959,1.962,1.928,1.941,3963,,2020-01-03 10:00:00
,1.942,1.942,1.905,1.912,5002,,2020-01-03 10:15:00
,1.911,1.932,1.91,1.93,2222,,2020-01-03 10:30:00
,1.929,1.943,1.918,1.939,3311,,2020-01-03 10:45:00
,1.939,1.974,1.937,1.97,3799,,2020-01-03 11:00:00
,1.97,1.974,1.943,1.954,2936,,2020-01-03 11:15:00
,1.955,1.961,1.935,1.957,2922,,2020-01-03 11:30:00
,1.957,1.99,1.955,1.988,4536,,2020-01-03 11:45:00
,1.989,2.014,1.955,1.983,7724,,2020-01-03 12:00:00
,1.983,2.073,1.981,2.05,10413,,2020-01-03 12:15:00
,2.051,2.097,2.037,2.095,13335,,2020-01-03 12:30:00
,2.096,2.14,2.071,2.116,15121,,2020-01-03 12:45:00
,2.116,2.117,2.07,2.08,9286,,2020-01-03 13:00:00
,2.08,2.15,2.071,2.12,10247,,2020-01-03 13:15:00
,2.12,2.129,2.042,2.06,10036,,2020-01-03 13:30:00
,2.059,2.069,2.013,2.045,8453,,2020-01-03 13:45:00
,2.045,2.094,2.031,2.09,7029,,2020-01-03 14:00:00
,2.09,2.119,2.066,2.078,6475,,2020-01-03 14:15:00
,2.078,2.097,2.06,2.076,4465,,2020-01-03 14:30:00
,2.076,2.086,2.035,2.056,5245,,2020-01-03 14:45:00
,2.056,2.07,2.035,2.069,5079,,2020-01-03 15:00:00
,2.069,2.1,2.06,2.071,6520,,2020-01-03 15:15:00
,2.072,2.1,2.07,2.093,4087,,2020-01-03 15:30:00
,2.094,2.118,2.074,2.085,5665,,2020-01-03 15:45:00
,2.085,2.125,2.085,2.116,5881,,2020-01-03 16:00:00
,2.116,2.154,2.113,2.146,10987,,2020-01-03 16:15:00
,2.146,2.167,2.128,2.145,10049,,2020-01-03 16:30:00
,2.146,2.175,2.117,2.163,9065,,2020-01-03 16:45:00
,2.163,2.178,2.119,2.13,9721,,2020-01-03 17:00:00
,2.13,2.13,2.096,2.121,7477,,2020-01-03 17:15:00
,2.121,2.137,2.101,2.109,5005,,2020-01-03 17:30:00
,2.11,2.116,2.051,2.075,8907,,2020-01-03 17:45:00
,2.074,2.092,2.058,2.089,5562,,2020-01-03 18:00:00
,2.089,2.096,2.055,2.07,4967,,2020-01-03 18:15:00
,2.072,2.073,2.02,2.038,8845,,2020-01-03 18:30:00
,2.038,2.062,2.034,2.06,5115,,2020-01-03 18:45:00
,2.06,2.063,2.018,2.047,5632,,2020-01-03 19:00:00
,2.047,2.051,2.005,2.039,5873,,2020-01-03 19:15:00
,2.04,2.047,2.02,2.042,5426,,2020-01-03 19:30:00
,2.042,2.048,2.022,2.046,3205,,2020-01-03 19:45:00
,2.046,2.048,2.022,2.039,2871,,2020-01-03 20:00:00
,2.039,2.068,2.032,2.06,2917,,2020-01-03 20:15:00
,2.061,2.063,2.031,2.044,2775,,2020-01-03 20:30:00
,2.043,2.044,2.022,2.041,2314,,2020-01-03 20:45:00
,2.042,2.051,2.021,2.048,3983,,2020-01-03 21:00:00
,2.048,2.058,2.036,2.044,2905,,2020-01-03 21:15:00
,2.044,2.05,2.034,2.05,2241,,2020-01-03 21:30:00
,2.05,2.065,2.043,2.06,2421,,2020-01-03 21:45:00
,2.061,2.086,2.049,2.056,5609,,2020-01-03 22:00:00
,2.057,2.075,2.05,2.075,3505,,2020-01-03 22:15:00
,2.074,2.078,2.052,2.054,3231,,2020-01-03 22:30:00
,2.054,2.055,2.026,2.034,6216,,2020-01-03 22:45:00
,2.034,2.037,1.97,1.985,9437,,2020-01-03 23:00:00
,1.985,2.0,1.975,1.982,4978,,2020-01-03 23:15:00
,1.982,2.005,1.982,1.998,3311,,2020-01-03 23:30:00
,1.997,2.01,1.955,1.971,5029,,2020-01-03 23:45:00
,1.972,1.997,1.966,1.975,3182,,2020-01-04 00:00:00
,1.975,1.992,1.968,1.98,3354,,2020-01-04 00:15:00
,1.98,2.024,1.978,2.011,4780,,2020-01-04 00:30:00
,2.011,2.017,1.992,2.0,3227,,2020-01-04 00:45:00
,2.0,2.03,1.993,2.006,4258,,2020-01-04 01:00:00
,2.007,2.02,1.935,1.955,8149,,2020-01-04 01:15:00
,1.955,1.972,1.932,1.955,6132,,2020-01-04 01:30:00
,1.955,1.959,1.91,1.916,9066,,2020-01-04 01:45:00
,1.916,1.926,1.86,1.877,14329,,2020-01-04 02:00:00
,1.876,1.913,1.874,1.906,6800,,2020-01-04 02:15:00
,1.907,1.914,1.882,1.889,4639,,2020-01-04 02:30:00
,1.888,1.904,1.856,1.86,6696,,2020-01-04 02:45:00
,1.86,1.917,1.849,1.91,7731,,2020-01-04 03:00:00
,1.91,1.933,1.901,1.92,4602,,2020-01-04 03:15:00
,1.92,1.95,1.904,1.93,4800,,2020-01-04 03:30:00
,1.929,1.946,1.918,1.94,3245,,2020-01-04 03:45:00
,1.94,1.945,1.909,1.917,3238,,2020-01-04 04:00:00
,1.917,1.959,1.917,1.958,3219,,2020-01-04 04:15:00
,1.957,1.961,1.943,1.956,2108,,2020-01-04 04:30:00
,1.956,1.964,1.93,1.933,2357,,2020-01-04 04:45:00
,1.933,1.964,1.932,1.954,1661,,2020-01-04 05:00:00
,1.954,1.959,1.947,1.95,1634,,2020-01-04 05:15:00
,1.951,1.977,1.951,1.968,4572,,2020-01-04 05:30:00
,1.967,1.973,1.945,1.948,2057,,2020-01-04 05:45:00
,1.947,1.977,1.944,1.968,2330,,2020-01-04 06:00:00
,1.969,1.976,1.96,1.961,1385,,2020-01-04 06:15:00
,1.962,1.971,1.957,1.969,1079,,2020-01-04 06:30:00
,1.968,1.977,1.96,1.97,1088,,2020-01-04 06:45:00
,1.971,1.972,1.945,1.951,1585,,2020-01-04 07:00:00
,1.951,1.957,1.945,1.945,1220,,2020-01-04 07:15:00
,1.945,1.97,1.945,1.964,1388,,2020-01-04 07:30:00
,1.965,1.971,1.945,1.947,1395,,2020-01-04 07:45:00
,1.947,1.952,1.93,1.935,1466,,2020-01-04 08:00:00
,1.935,1.951,1.928,1.933,1487,,2020-01-04 08:15:00
,1.932,1.946,1.931,1.939,1168,,2020-01-04 08:30:00
